"event_id","event_date","event_date_basis","region","countries_or_territories","other_actors","indicator_category","event_type","event_title","reported_event_details","reported_economic_effects","reported_political_security_consequences","reported_humanitarian_effects","analytical_implications","war_causation_mechanisms","indicator_direction_analyst_assessment","metric_name","metric_value","metric_unit","metric_reference_period","metric_status","metric_qualifier","evidence_status","source_publisher","source_publication_date","source_url","additional_source_url","limitations","as_of_date","coverage_scope"
"GCI2026-011","2026-02-20","Event or announcement date","Global","United States","U.S. Supreme Court; trading partners","Domestic institutions and legitimacy","Judicial ruling","U.S. Supreme Court rejects emergency-law global tariffs","The Supreme Court struck down the administration's sweeping tariffs imposed under an emergency-powers law.","The ruling affected major import duties and created refund and policy questions.","The judiciary constrained this use of presidential economic authority.","","Institutional checks can limit coercive policy, although governments may pursue alternative legal instruments.","Domestic institutions; economic coercion","Mixed","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-02-20","https://www.reuters.com/legal/government/us-supreme-court-rejects-trumps-global-tariffs-2026-02-20/","","The ruling did not abolish all U.S. tariffs or prevent replacement measures under other authorities.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-012","2026-02-24","Publication or assessment date; reference period may differ","Horn of Africa","Somalia","Somali government; UN agencies","Food security and climate stress","Assessment release","Somalia hunger assessment warns of severe deterioration","The government and UN agencies warned that nearly 6.5 million people faced high levels of hunger amid worsening drought.","","","More than 1.8 million children faced acute malnutrition, according to the assessment.","Food stress can compound displacement and state fragility; it is not evidence that interstate war is inevitable.","State capacity; resource stress; humanitarian vulnerability","Contextual","People facing high levels of hunger","6500000","people","2026 assessment","Estimate","approximately","Primary institutional statement or assessment; see limitations","World Food Programme","2026-02-24","https://www.wfp.org/news/somalias-humanitarian-crisis-worsening-65-million-people-facing-high-levels-hunger-federal","","Assessment figures are estimates; hunger and child-malnutrition populations overlap and must not be added.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-013","2026-02-27","Event or announcement date","South Asia","Pakistan; Afghanistan","Taliban authorities","Interstate combat and intervention","Military action","Pakistan strikes Afghanistan as cross-border conflict intensifies","Pakistan conducted air and ground strikes inside Afghanistan. Taliban authorities indicated willingness to negotiate.","","Pakistan's defence minister described the confrontation as open war.","","Cross-border militant disputes can escalate into direct interstate fighting even while negotiations remain possible.","Security dilemma; proxy support; escalation","Escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-02-27","https://www.reuters.com/world/asia-pacific/pakistan-strikes-afghanistan-targets-clashes-intensify-2026-02-27/","","Both sides issued conflicting casualty claims; no combined toll is adopted here.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-014","2026-02-28","Event or announcement date","Middle East","United States; Iran; Israel","U.S. Central Command; Islamic Revolutionary Guard Corps","Interstate combat and intervention","Military action","U.S. launches Operation Epic Fury against Iran","CENTCOM announced the start of a campaign against Iranian military targets on February 28.","","The operation established direct U.S. participation in the new campaign against Iran.","","Direct intervention raises risks of retaliation against bases, partners and maritime routes.","Preventive-war logic; escalation; alliance entanglement","Escalatory","","","","","","","Primary institutional statement or assessment; see limitations","U.S. Central Command","2026-02-28","https://www.centcom.mil/MEDIA/PUBLIC-RELEASES/Article/4418396/us-forces-launch-operation-epic-fury/","","CENTCOM is a belligerent source. Its claims about imminent threats or operational success are not independently adopted.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-015","2026-03-02","Event or announcement date","Europe","France; Germany; United Kingdom","European security partners","Nuclear weapons and arms control","Policy announcement","France announces expanded nuclear deterrence policy","Macron announced an increase in France's nuclear arsenal and an end to public disclosure of its size.","","France advanced discussions on a broader European role for its deterrent.","","The policy combines deterrence reassurance with reduced transparency and possible arms-race effects.","Security dilemma; balancing; alliance reassurance","Mixed","","","","","","","Primary institutional statement or assessment; see limitations","Presidency of France","2026-03-02","https://www.elysee.fr/emmanuel-macron/2026/03/02/deplacement-sur-la-base-operationnelle-de-lile-longue","https://www.sipri.org/media/press-release/2026/increasing-focus-nuclear-weapons-amid-heightened-escalation-risks-new-sipri-yearbook-out-now","An announced increase is not a verified count of newly produced or deployed warheads.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-016","2026-03-10","Publication or assessment date; reference period may differ","Global","Iran; Oman","UNCTAD; energy and fertilizer importers","Energy and maritime chokepoints","Assessment release","UNCTAD warns of Hormuz trade spillovers","UNCTAD identified risks from shipping disruptions to energy, fertilizers and vulnerable economies.","The assessment linked the disruption to commodity-market and transport exposure.","","","A regional chokepoint can transmit costs to distant food systems and import-dependent economies.","Resource security; economic interdependence; conflict spillovers","Escalatory","","","","","","","Primary institutional statement or assessment; see limitations","UN Trade and Development (UNCTAD)","2026-03-10","https://unctad.org/news/hormuz-shipping-disruptions-raise-risks-energy-fertilizers-and-vulnerable-economies","","The assessment describes exposure and risks; it does not measure every country's realized loss.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-017","2026-03-11","Event or announcement date","Global","Multiple countries","32 IEA member countries","Energy and maritime chokepoints","Emergency policy action","IEA members agree record emergency oil-stock release","IEA members unanimously agreed to make 400 million barrels of emergency oil available in response to Middle East disruptions.","The announcement provided a coordinated buffer against interrupted supply.","","","Emergency stocks can soften a shock, but repeated drawdowns reduce future cushioning capacity.","Collective action; resource security","De-escalatory","Oil made available under agreement","400","million barrels","2026 collective action","Announced","exact","Primary institutional statement or assessment; see limitations","International Energy Agency","2026-03-11","https://www.iea.org/news/iea-member-countries-to-carry-out-largest-ever-oil-stock-release-amid-market-disruptions-from-middle-east-conflict","","Agreed availability is not the same as barrels already delivered to the market.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-018","2026-03-16","Event or announcement date","Europe","Russia","European Union; EU member states; Russian proxies","Cyber and hybrid activity","Policy adoption","EU strengthens coordinated response to hybrid threats","The Council adopted conclusions on countering hybrid campaigns and condemned Russian and proxy activity.","","The policy reaffirmed coordinated use of the EU's hybrid and cyber-diplomacy instruments.","","Sabotage and information operations can erode trust below the threshold of sustained open warfare.","Information manipulation; coercion; security dilemma","Mixed","","","","","","","Primary institutional statement or assessment; see limitations","Council of the European Union","2026-03-16","https://www.consilium.europa.eu/en/press/press-releases/2026/03/16/council-adopts-conclusions-on-advancing-the-eu-s-capacity-to-counter-hybrid-threats/","","The Council's attribution is an official position; the policy release is not a catalogue independently verifying each alleged incident.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-019","2026-03-17","Publication or assessment date; reference period may differ","Global","Multiple countries","World Food Programme; vulnerable food-importing populations","Food security and climate stress","Scenario forecast release","WFP models additional hunger from prolonged Middle East war","WFP estimated almost 45 million additional people could enter acute food insecurity if fighting persisted to midyear and oil stayed above USD 100.","","","","Fuel and transport shocks can magnify humanitarian pressures far from the battlefield.","Economic spillovers; resource stress","Contextual","Additional people at risk under scenario","45000000","people","Conditional 2026 scenario","Forecast","approximately","Primary institutional statement or assessment; see limitations","World Food Programme","2026-03-17","https://www.wfp.org/news/wfp-projects-food-insecurity-could-reach-record-levels-result-middle-east-escalation","","Conditional March forecast, not an observed September count. The scenario conditions and later outcomes must be checked separately.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-020","2026-03-19","Publication or assessment date; reference period may differ","Global","Multiple countries","Freedom House","Domestic institutions and legitimacy","Retrospective data release","Freedom House reports twentieth consecutive annual freedom decline","The 2026 report assessed 2025: 54 countries deteriorated in rights and liberties, while 35 improved.","","The assessment identified continued global erosion of political freedoms.","","Weaker accountability can affect leaders' incentives and information quality, but this index is not a war predictor.","Domestic political incentives; information quality","Contextual","Countries with declining freedom scores","54","countries","2025","Historical assessment","exact","Research dataset or assessment; methodology-specific","Freedom House","2026-03-19","https://freedomhouse.org/article/new-report-global-freedom-declined-20th-consecutive-year-2025","","Published in 2026 but measures 2025. Freedom House uses its own normative scoring methodology.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-021","2026-03-19","Publication or assessment date; reference period may differ","Global","Multiple countries","World Trade Organization","Macroeconomic and financial conditions","Forecast release","WTO forecasts slower trade with downside from energy shocks","WTO forecast 1.9 percent merchandise-trade growth in its baseline and 1.4 percent in a sustained high-energy-price scenario.","The baseline excluded the modeled energy-price shock.","","","Lower trade growth narrows economic gains from cooperation and raises pressure on import-dependent states.","Economic interdependence; resource shocks","Contextual","Baseline merchandise-trade volume growth","1.9","percent","2026","Forecast","exact","Primary institutional statement or assessment; see limitations","World Trade Organization","2026-03-19","https://www.wto.org/english/news_e/news26_e/stat_19mar26_329_e.htm","","Forecasts are scenario-dependent, not realized annual growth. WTO and IMF global-growth measures are not interchangeable.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-022","2026-04-07","Publication or assessment date; reference period may differ","North America and Middle East","United States; Iran","FBI; CISA; NSA; EPA; DOE; Iran-affiliated cyber actors","Cyber and hybrid activity","Security advisory release","U.S. agencies warn of Iranian-affiliated attacks on industrial controllers","A joint advisory described exploitation of programmable logic controllers across U.S. critical infrastructure.","Some victims experienced operational disruption and financial loss, according to the advisory.","","","Cyber operations can extend conflict into civilian infrastructure without conventional attacks on U.S. territory.","Asymmetric coercion; conflict spillovers","Escalatory","","","","","","","Primary institutional statement or assessment; see limitations","FBI; CISA; NSA; EPA; DOE; USCYBERCOM","2026-04-07","https://www.ic3.gov/CSA/2026/260407.pdf","","Attribution is the agencies' assessment. The advisory does not establish that every targeted organization suffered disruption.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-023","2026-04-14","Publication or assessment date; reference period may differ","Global","Multiple countries","International Monetary Fund","Macroeconomic and financial conditions","Forecast release","IMF revises outlook under Middle East war shock","The April outlook projected global growth of 3.1 percent in 2026 under an assumption of limited conflict.","The IMF identified higher commodity prices, inflation pressure and tighter financial conditions.","","","A prolonged shock could reduce fiscal room and intensify distributional disputes within importing countries.","Economic shocks; domestic political incentives","Contextual","Global real GDP growth","3.1","percent","2026","Forecast","exact","Primary institutional statement or assessment; see limitations","International Monetary Fund","2026-04-14","https://www.imf.org/en/publications/weo/issues/2026/04/14/world-economic-outlook-april-2026","","April forecast vintage; superseded by later forecasts and not a realized annual result.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-024","2026-04-15","Publication or assessment date; reference period may differ","Global","Multiple countries","International Monetary Fund","Macroeconomic and financial conditions","Assessment and forecast release","IMF warns of rising public debt and spending pressures","The Fiscal Monitor estimated global public debt just below 94 percent of GDP in 2025 and projected 100 percent by 2029.","Defence, social spending and interest costs were identified as pressures on public finances.","","","High debt can limit responses to energy and security shocks and sharpen budget trade-offs.","Fiscal capacity; domestic political incentives","Contextual","Global public debt relative to GDP","94","percent of GDP","2025","Historical estimate","just below","Primary institutional statement or assessment; see limitations","International Monetary Fund","2026-04-15","https://www.imf.org/en/publications/fm/issues/2026/04/15/fiscal-monitor-april-2026","","The 2025 estimate and 2029 forecast are distinct; this row records their April 2026 publication.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-025","2026-04-18","Event or announcement date","Indo-Pacific","Japan; Australia","Mitsubishi Heavy Industries; Royal Australian Navy","Alliances and military capacity","Procurement contract","Australia and Japan sign major frigate contracts","The countries signed contracts initiating a warship program valued at about AUD 10 billion.","The program allocates shipbuilding work to Japan and Australia.","The deal deepened bilateral defence-industrial cooperation.","","Expanded naval capability supports deterrence but can also reinforce competitive military planning.","Balancing; security dilemma; alliance cooperation","Mixed","Reported program value","10","AUD billion","Multiyear program; contracts signed 2026","Announced","approximately","News reporting; claims remain attributed where indicated","Reuters","2026-04-18","https://www.reuters.com/world/china/australia-japan-sign-contracts-start-7-billion-warship-deal-2026-04-18/","","Program value is not 2026 expenditure; deliveries are scheduled for later years.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-026","2026-04-23","Event or announcement date","Europe and Global","Russia; Ukraine","European Union; targeted energy and financial entities","Trade coercion and sanctions","Sanctions adoption","EU adopts twentieth Russia sanctions package","The Council adopted additional restrictions targeting energy, the military-industrial sector, trade and financial services.","Measures included 36 energy-sector designations.","The package extended economic pressure over Russia's war against Ukraine.","","Sanctions seek to constrain war resources but can encourage trade rerouting and alternative financial channels.","Economic coercion; resource constraints","Mixed","Energy-sector designations in package","36","designations","2026-04 package","Observed policy count","exact","Primary institutional statement or assessment; see limitations","Council of the European Union","2026-04-23","https://www.consilium.europa.eu/en/press/press-releases/2026/04/23/russia-s-war-of-aggression-against-ukraine-20th-round-of-stern-eu-sanctions-hits-energy-military-industrial-complex-trade-and-financial-services-including-crypto/","","Designations are not a measure of revenue lost or sanctions effectiveness.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-027","2026-04-25","Event or announcement date","Sahel","Mali","Malian armed forces; al-Qaeda-linked militants","Non-state conflict and state capacity","Military action","Coordinated insurgent attacks hit Malian army positions","Large attacks targeted positions near Bamako and in northern cities; al-Qaeda-linked militants claimed responsibility.","","The attacks challenged the military authorities' security control.","","Coordinated attacks across distant sites indicate pressure on state capacity and raise risks to transport and economic activity.","State capacity; insurgency; regional spillovers","Escalatory","","","","","","","News reporting; claims remain attributed where indicated","Reuters","2026-04-25","https://www.reuters.com/world/africa/loud-blasts-gunfire-heard-near-malis-main-military-camp-reuters-witness-says-2026-04-25/","","The army's claimed assailant deaths are not treated as independently verified casualties.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-028","2026-04-27","Publication or assessment date; reference period may differ","Global","Multiple countries","SIPRI","Alliances and military capacity","Retrospective data release","SIPRI reports another annual increase in world military spending","SIPRI estimated 2025 military expenditure at USD 2,887 billion, a 2.9 percent real increase and the eleventh successive annual rise.","The release measures resources devoted to military activity.","","","Persistent rearmament can reflect both deterrence needs and reinforcing arms competition.","Security dilemma; balancing; fiscal trade-offs","Contextual","World military expenditure","2887","USD billion","2025","Historical estimate","exact","Research dataset or assessment; methodology-specific","SIPRI","2026-04-27","https://www.sipri.org/publications/2026/sipri-fact-sheets/trends-world-military-expenditure-2025","","These are 2025 spending estimates published in April 2026, not 2026 spending. The dollar total and real growth rate use different measurement conventions.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-029","2026-04-28","Publication or assessment date; reference period may differ","Global","Multiple countries","World Bank; commodity importers and exporters","Macroeconomic and financial conditions","Forecast release","World Bank forecasts sharp rise in energy prices","The Commodity Markets Outlook projected energy prices to rise 24 percent in 2026 and overall commodity prices 16 percent.","The outlook connected the forecasts to the Middle East supply shock.","","","The same price rise can benefit exporters while worsening inflation, external balances and subsidies for importers.","Resource shocks; economic interdependence","Contextual","Annual energy-price increase","24","percent","2026","Forecast","exact","Primary institutional statement or assessment; see limitations","World Bank","2026-04-28","https://www.worldbank.org/en/news/press-release/2026/04/28/commodity-markets-outlook-april-2026-press-release","","Forecast as of April 28; not a September spot price or realized full-year inflation rate.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
"GCI2026-030","2026-04-30","Publication or assessment date; reference period may differ","East Africa","South Sudan","Government and opposition forces; UN OCHA","Humanitarian consequences","Situation report","Fighting damages health infrastructure in Jonglei","OCHA reported at least 33 health facilities destroyed, looted or damaged in conflict-affected Jonglei areas.","","","The damage reduced access to health services.","Loss of basic services deepens displacement pressures and weakens the capacity to stabilize conflict-affected communities.","State capacity; humanitarian vulnerability","Escalatory","Health facilities destroyed, looted or damaged","33","facilities","Cumulative as reported 2026-04-30","Reported estimate","at least","Primary institutional statement or assessment; see limitations","UN OCHA","2026-04-30","https://www.unocha.org/publications/report/south-sudan/south-sudan-humanitarian-update-18-30-april-2026","","The count spans the report's cumulative conflict context, not necessarily incidents occurring only during April 18-30.","2026-09-08","Selected major events and indicator releases through 2026-09-08; not exhaustive. Blank means not reported in cited source. Country listing does not imply belligerency. Analytical implications, mechanisms and direction are judgments, not WWIII criteria or probabilities."
